,2035,2040,2050
10JAN11:00,121,125,124
10JAN12:00,121,125,124
10JAN13:00,121,125,124
10JAN14:00,121,125,124
10JAN15:00,145,144,148
10JAN16:00,145,149,148
10JAN17:00,145,144,148
10JAN18:00,145,144,148
10JAN19:00,145,144,148
10JAN20:00,145,143,148
10JAN21:00,145,142,146
10JAN22:00,145,142,146
10JAN23:00,121,121,132
11JAN00:00,117,124,124
11JAN01:00,117,124,124
11JAN02:00,117,124,124
11JAN03:00,117,124,124
11JAN04:00,117,124,124
11JAN05:00,117,124,124
11JAN06:00,120,124,129
11JAN07:00,125,124,129
11JAN08:00,117,101,113
11JAN09:00,66,60,52
11JAN10:00,65,60,51
11JAN11:00,65,60,51
11JAN12:00,65,60,51
11JAN13:00,65,60,51
11JAN14:00,65,60,51
11JAN15:00,85,61,53
11JAN16:00,85,63,55
11JAN17:00,85,63,55
11JAN18:00,85,63,55
11JAN19:00,85,63,54
11JAN20:00,85,61,53
11JAN21:00,85,60,52
11JAN22:00,63,60,52
11JAN23:00,63,60,52
12JAN00:00,63,60,52
12JAN01:00,63,60,52
12JAN02:00,63,60,52
12JAN03:00,63,60,52
12JAN04:00,63,60,52
12JAN05:00,63,60,52
12JAN06:00,66,60,52
12JAN07:00,66,61,52
12JAN08:00,63,60,52
12JAN09:00,62,60,51
12JAN10:00,48,60,51
12JAN11:00,48,60,51
12JAN12:00,48,60,51
12JAN13:00,48,60,51
12JAN14:00,48,60,51
12JAN15:00,62,60,51
12JAN16:00,65,60,52
12JAN17:00,65,60,52
12JAN18:00,63,60,52
12JAN19:00,62,60,51
12JAN20:00,62,60,51
12JAN21:00,62,60,51
12JAN22:00,62,60,51
12JAN23:00,62,60,51
13JAN00:00,65,60,53
13JAN01:00,65,60,53
13JAN02:00,65,60,53
13JAN03:00,65,60,53
13JAN04:00,65,60,53
13JAN05:00,65,60,53
13JAN06:00,65,60,53
13JAN07:00,65,60,53
13JAN08:00,65,60,53
13JAN09:00,65,60,53
13JAN10:00,65,60,53
13JAN11:00,65,60,53
13JAN12:00,65,60,53
13JAN13:00,65,60,53
13JAN14:00,81,61,54
13JAN15:00,91,93,92
13JAN16:00,125,129,129
13JAN17:00,129,130,130
13JAN18:00,124,130,130
13JAN19:00,122,129,130
13JAN20:00,122,129,130
13JAN21:00,121,129,130
13JAN22:00,126,131,132
13JAN23:00,126,131,133
14JAN00:00,133,132,134
14JAN01:00,133,134,136
14JAN02:00,133,136,136
14JAN03:00,133,136,136
14JAN04:00,133,136,136
14JAN05:00,133,136,136
14JAN06:00,141,142,136
14JAN07:00,141,142,136
14JAN08:00,141,142,136
14JAN09:00,140,142,136
14JAN10:00,133,134,128
14JAN11:00,132,131,128
14JAN12:00,132,134,128
14JAN13:00,133,135,129
14JAN14:00,150,146,137
14JAN15:00,173,167,146
14JAN16:00,173,167,146
14JAN17:00,173,167,146
14JAN18:00,173,167,146
14JAN19:00,173,167,146
14JAN20:00,173,167,146
14JAN21:00,173,167,146
14JAN22:00,173,167,146
14JAN23:00,163,157,138
15JAN00:00,163,167,146
15JAN01:00,163,167,146
15JAN02:00,163,167,146
15JAN03:00,163,167,146
15JAN04:00,173,167,146
15JAN05:00,173,167,146
15JAN06:00,173,167,146
15JAN07:00,173,167,146
15JAN08:00,173,167,146
15JAN09:00,173,167,146
15JAN10:00,152,145,137
15JAN11:00,147,144,136
15JAN12:00,147,142,136
15JAN13:00,147,142,136
15JAN14:00,147,144,136
15JAN15:00,173,165,144
15JAN16:00,173,167,144
15JAN17:00,173,165,144
15JAN18:00,173,165,144
15JAN19:00,171,144,137
15JAN20:00,136,136,136
15JAN21:00,133,136,134
15JAN22:00,126,110,128
15JAN23:00,118,104,113
16JAN00:00,118,103,115
16JAN01:00,111,101,113
16JAN02:00,111,101,110
16JAN03:00,111,101,110
16JAN04:00,111,101,110
16JAN05:00,111,103,106
16JAN06:00,118,107,113
16JAN07:00,118,107,113
16JAN08:00,114,98,96
16JAN09:00,81,83,56
16JAN10:00,81,83,56
16JAN11:00,81,83,54
16JAN12:00,81,83,54
16JAN13:00,81,83,56
16JAN14:00,89,88,56
16JAN15:00,102,104,63
16JAN16:00,102,104,63
16JAN17:00,102,104,63
16JAN18:00,102,104,63
16JAN19:00,95,98,61
16JAN20:00,94,98,61
16JAN21:00,93,98,59
16JAN22:00,93,98,59
16JAN23:00,92,98,59
17JAN00:00,93,98,61
17JAN01:00,93,98,61
