,2035,2040,2050
11FEB12:00,62,60,52
11FEB13:00,62,60,52
11FEB14:00,62,60,53
11FEB15:00,62,60,53
11FEB16:00,76,61,53
11FEB17:00,81,63,54
11FEB18:00,81,63,55
11FEB19:00,81,62,54
11FEB20:00,79,62,54
11FEB21:00,78,61,53
11FEB22:00,76,61,53
11FEB23:00,76,60,53
12FEB00:00,76,61,53
12FEB01:00,76,61,53
12FEB02:00,76,61,53
12FEB03:00,76,61,53
12FEB04:00,77,62,54
12FEB05:00,81,62,54
12FEB06:00,82,63,55
12FEB07:00,84,66,56
12FEB08:00,79,63,54
12FEB09:00,66,60,53
12FEB10:00,64,60,53
12FEB11:00,64,60,52
12FEB12:00,64,60,52
12FEB13:00,64,60,52
12FEB14:00,64,60,53
12FEB15:00,76,63,54
12FEB16:00,109,102,91
12FEB17:00,110,111,122
12FEB18:00,110,111,122
12FEB19:00,110,111,122
12FEB20:00,110,111,122
12FEB21:00,110,111,122
12FEB22:00,110,111,122
12FEB23:00,103,110,122
13FEB00:00,103,105,122
13FEB01:00,103,105,116
13FEB02:00,102,105,116
13FEB03:00,103,105,122
13FEB04:00,110,111,122
13FEB05:00,110,111,122
13FEB06:00,110,111,122
13FEB07:00,110,111,122
13FEB08:00,110,111,92
13FEB09:00,82,82,70
13FEB10:00,82,82,70
13FEB11:00,82,82,70
13FEB12:00,82,82,70
13FEB13:00,82,82,70
13FEB14:00,82,82,70
13FEB15:00,90,89,90
13FEB16:00,125,128,135
13FEB17:00,125,128,135
13FEB18:00,125,128,135
13FEB19:00,125,128,135
13FEB20:00,125,128,135
13FEB21:00,125,128,135
13FEB22:00,118,126,133
13FEB23:00,115,120,130
14FEB00:00,106,120,125
14FEB01:00,106,120,125
14FEB02:00,106,120,126
14FEB03:00,108,128,126
14FEB04:00,121,128,126
14FEB05:00,121,128,126
14FEB06:00,121,128,126
14FEB07:00,121,128,126
14FEB08:00,121,128,126
14FEB09:00,90,93,95
14FEB10:00,89,93,95
14FEB11:00,89,93,95
14FEB12:00,89,93,95
14FEB13:00,89,93,95
14FEB14:00,89,93,95
14FEB15:00,103,98,113
14FEB16:00,121,125,124
14FEB17:00,121,125,124
14FEB18:00,121,125,124
14FEB19:00,121,125,124
14FEB20:00,121,125,124
14FEB21:00,121,125,124
14FEB22:00,121,125,124
14FEB23:00,106,120,124
15FEB00:00,106,117,124
15FEB01:00,101,104,124
15FEB02:00,99,102,121
15FEB03:00,99,102,113
15FEB04:00,99,102,117
15FEB05:00,103,104,113
15FEB06:00,106,109,119
15FEB07:00,106,109,119
15FEB08:00,96,90,74
15FEB09:00,80,66,55
15FEB10:00,79,66,55
15FEB11:00,79,66,55
15FEB12:00,79,66,55
15FEB13:00,79,66,55
15FEB14:00,79,66,55
15FEB15:00,84,86,58
15FEB16:00,106,111,113
15FEB17:00,106,111,119
15FEB18:00,106,111,119
15FEB19:00,106,111,119
15FEB20:00,106,111,119
15FEB21:00,106,111,119
15FEB22:00,102,109,113
15FEB23:00,100,104,112
16FEB00:00,100,104,112
16FEB01:00,100,104,112
16FEB02:00,100,104,112
16FEB03:00,100,104,119
16FEB04:00,106,111,119
16FEB05:00,106,111,119
16FEB06:00,106,111,119
16FEB07:00,106,111,119
16FEB08:00,106,111,119
16FEB09:00,106,111,118
16FEB10:00,100,98,96
16FEB11:00,93,89,96
16FEB12:00,93,90,96
16FEB13:00,100,98,96
16FEB14:00,106,98,96
16FEB15:00,106,111,118
16FEB16:00,106,111,118
16FEB17:00,106,111,118
16FEB18:00,106,111,118
16FEB19:00,106,111,118
16FEB20:00,106,109,113
16FEB21:00,103,101,112
16FEB22:00,96,95,93
16FEB23:00,80,88,59
17FEB00:00,80,65,55
17FEB01:00,78,62,54
17FEB02:00,78,62,54
17FEB03:00,78,62,54
17FEB04:00,78,61,53
17FEB05:00,78,61,53
17FEB06:00,78,62,53
17FEB07:00,78,62,53
17FEB08:00,78,61,52
17FEB09:00,78,61,52
17FEB10:00,78,61,52
17FEB11:00,78,61,52
17FEB12:00,78,61,52
17FEB13:00,78,61,52
17FEB14:00,78,61,52
17FEB15:00,78,63,54
17FEB16:00,99,100,93
17FEB17:00,106,115,124
17FEB18:00,106,115,124
17FEB19:00,106,115,124
17FEB20:00,106,115,124
17FEB21:00,106,115,124
17FEB22:00,106,115,124
17FEB23:00,106,115,124
18FEB00:00,112,115,130
18FEB01:00,112,115,130
18FEB02:00,112,115,130
18FEB03:00,112,115,130
18FEB04:00,112,115,130
18FEB05:00,112,115,130
18FEB06:00,112,115,130
18FEB07:00,112,115,130
18FEB08:00,100,111,113
18FEB09:00,84,84,73
18FEB10:00,84,84,73
18FEB11:00,84,84,73
18FEB12:00,84,84,73
18FEB13:00,84,84,73
18FEB14:00,84,84,73
18FEB15:00,86,86,79
18FEB16:00,172,145,159
18FEB17:00,174,146,159
18FEB18:00,174,146,159
18FEB19:00,174,146,159
18FEB20:00,174,146,159
18FEB21:00,174,146,159
18FEB22:00,174,146,159
18FEB23:00,172,146,159
19FEB00:00,174,146,159
19FEB01:00,172,145,159
19FEB02:00,172,146,159
19FEB03:00,174,146,159
19FEB04:00,174,146,159
19FEB05:00,174,146,159
19FEB06:00,174,146,159
19FEB07:00,174,146,159
19FEB08:00,138,133,137
19FEB09:00,90,89,79
19FEB10:00,86,85,73
19FEB11:00,86,85,73
19FEB12:00,86,85,73
19FEB13:00,86,85,73
19FEB14:00,86,85,73
19FEB15:00,91,98,100
19FEB16:00,121,128,134
19FEB17:00,121,128,134
19FEB18:00,121,128,134
19FEB19:00,121,128,134
19FEB20:00,121,128,134
19FEB21:00,121,128,134
19FEB22:00,116,127,134
19FEB23:00,102,112,131
20FEB00:00,99,113,124
20FEB01:00,99,113,124
20FEB02:00,99,113,124
20FEB03:00,99,113,124
20FEB04:00,99,113,124
20FEB05:00,105,114,129
20FEB06:00,112,120,132
20FEB07:00,108,120,132
20FEB08:00,100,113,111
20FEB09:00,99,113,111
20FEB10:00,99,113,111
20FEB11:00,99,113,111
20FEB12:00,99,113,111
20FEB13:00,99,113,111
20FEB14:00,99,113,111
20FEB15:00,121,151,140
20FEB16:00,174,198,159
20FEB17:00,174,198,159
20FEB18:00,174,198,159
20FEB19:00,173,198,159
20FEB20:00,165,198,159
20FEB21:00,163,198,159
20FEB22:00,164,198,159
20FEB23:00,163,198,159
21FEB00:00,174,198,159
21FEB01:00,174,198,159
21FEB02:00,174,198,159
21FEB03:00,174,198,159
21FEB04:00,174,198,159
21FEB05:00,174,198,159
21FEB06:00,174,198,159
21FEB07:00,174,198,159
21FEB08:00,174,198,159
21FEB09:00,173,179,159
21FEB10:00,96,98,72
21FEB11:00,91,98,72
21FEB12:00,91,98,72
21FEB13:00,91,98,72
21FEB14:00,91,98,72
21FEB15:00,112,99,76
21FEB16:00,112,120,93
21FEB17:00,112,120,93
21FEB18:00,112,116,93
21FEB19:00,112,114,93
21FEB20:00,110,106,74
21FEB21:00,99,98,72
21FEB22:00,76,60,52
21FEB23:00,74,60,52
22FEB00:00,88,60,52
22FEB01:00,88,60,52
22FEB02:00,88,60,52
22FEB03:00,88,60,52
22FEB04:00,88,60,52
22FEB05:00,88,60,52
22FEB06:00,90,60,52
22FEB07:00,90,60,52
22FEB08:00,73,60,52
22FEB09:00,64,59,51
22FEB10:00,64,59,51
22FEB11:00,63,59,51
22FEB12:00,62,59,51
22FEB13:00,62,59,51
22FEB14:00,62,59,51
22FEB15:00,62,59,51
22FEB16:00,63,60,52
22FEB17:00,64,60,51
22FEB18:00,63,60,51
22FEB19:00,61,59,51
22FEB20:00,61,59,51
22FEB21:00,61,59,51
22FEB22:00,61,58,51
22FEB23:00,61,58,51
23FEB00:00,61,58,51
23FEB01:00,61,58,51
23FEB02:00,61,58,51
23FEB03:00,61,58,51
23FEB04:00,61,58,51
23FEB05:00,62,58,51
23FEB06:00,64,59,51
23FEB07:00,65,60,52
23FEB08:00,64,60,51
23FEB09:00,62,58,51
23FEB10:00,61,58,51
23FEB11:00,61,58,51
23FEB12:00,61,58,51
23FEB13:00,61,58,51
23FEB14:00,61,58,51
23FEB15:00,62,59,51
23FEB16:00,81,60,53
23FEB17:00,97,80,55
23FEB18:00,97,80,55
23FEB19:00,97,78,55
23FEB20:00,97,77,55
23FEB21:00,97,80,55
23FEB22:00,99,98,69
23FEB23:00,98,98,69
24FEB00:00,97,99,69
24FEB01:00,97,100,71
24FEB02:00,98,100,71
24FEB03:00,98,101,71
24FEB04:00,100,101,71
24FEB05:00,100,101,71
24FEB06:00,101,101,71
24FEB07:00,101,101,71
24FEB08:00,100,101,71
24FEB09:00,97,88,56
24FEB10:00,83,79,54
24FEB11:00,81,79,54
24FEB12:00,81,79,54
24FEB13:00,80,79,53
24FEB14:00,81,79,54
24FEB15:00,90,88,56
24FEB16:00,101,103,71
24FEB17:00,101,103,71
24FEB18:00,101,103,71
24FEB19:00,101,103,71
24FEB20:00,101,103,71
24FEB21:00,101,103,71
24FEB22:00,99,101,71
24FEB23:00,97,99,69
25FEB00:00,95,98,69
25FEB01:00,92,86,69
25FEB02:00,92,83,54
25FEB03:00,90,62,52
25FEB04:00,89,60,52
25FEB05:00,90,60,52
25FEB06:00,90,60,52
25FEB07:00,73,60,51
25FEB08:00,60,58,51
25FEB09:00,60,58,51
25FEB10:00,59,57,49
25FEB11:00,59,57,48
25FEB12:00,59,57,49
25FEB13:00,59,58,51
25FEB14:00,60,58,51
25FEB15:00,60,58,51
25FEB16:00,60,58,51
25FEB17:00,62,60,51
25FEB18:00,62,60,51
25FEB19:00,60,59,51
25FEB20:00,60,58,51
25FEB21:00,60,58,51
25FEB22:00,60,58,51
25FEB23:00,60,58,51
26FEB00:00,61,58,51
26FEB01:00,61,58,51
26FEB02:00,61,58,51
26FEB03:00,61,58,51
26FEB04:00,61,58,51
26FEB05:00,61,58,51
26FEB06:00,61,58,51
26FEB07:00,61,59,51
26FEB08:00,61,58,51
26FEB09:00,60,57,50
26FEB10:00,59,57,50
26FEB11:00,59,57,50
26FEB12:00,59,57,50
26FEB13:00,59,57,50
26FEB14:00,59,57,50
26FEB15:00,60,58,50
26FEB16:00,61,58,51
26FEB17:00,62,59,51
26FEB18:00,62,59,51
26FEB19:00,61,58,51
26FEB20:00,61,58,51
26FEB21:00,61,58,51
26FEB22:00,61,58,51
26FEB23:00,61,58,51
27FEB00:00,61,58,51
27FEB01:00,61,58,51
27FEB02:00,61,58,51
27FEB03:00,61,58,51
27FEB04:00,62,59,51
27FEB05:00,64,60,52
27FEB06:00,68,61,53
27FEB07:00,72,61,54
27FEB08:00,68,61,52
27FEB09:00,64,60,51
27FEB10:00,65,60,51
27FEB11:00,64,60,51
27FEB12:00,64,60,51
27FEB13:00,64,60,51
27FEB14:00,65,60,52
27FEB15:00,74,61,54
27FEB16:00,96,81,88
27FEB17:00,105,108,121
27FEB18:00,106,108,122
27FEB19:00,105,108,122
27FEB20:00,105,108,122
27FEB21:00,105,108,121
27FEB22:00,99,101,118
27FEB23:00,98,101,117
28FEB00:00,98,101,121
28FEB01:00,98,101,118
28FEB02:00,98,101,118
28FEB03:00,98,101,119
28FEB04:00,101,104,123
28FEB05:00,106,108,123
28FEB06:00,108,110,123
28FEB07:00,108,110,123
28FEB08:00,106,108,123
28FEB09:00,101,98,121
28FEB10:00,101,97,116
28FEB11:00,98,97,116
28FEB12:00,90,97,116
28FEB13:00,98,97,116
28FEB14:00,98,97,116
28FEB15:00,147,143,151
28FEB16:00,168,165,153
28FEB17:00,168,165,153
28FEB18:00,168,165,153
28FEB19:00,168,165,153
28FEB20:00,168,165,153
28FEB21:00,168,165,153
28FEB22:00,168,165,153
28FEB23:00,167,165,153
01MAR00:00,168,32,153
01MAR01:00,167,32,153
01MAR02:00,160,32,153
01MAR03:00,167,32,153
01MAR04:00,168,32,153
01MAR05:00,168,32,153
01MAR06:00,168,32,153
01MAR07:00,168,32,153
01MAR08:00,106,32,113
01MAR09:00,90,32,91
01MAR10:00,82,32,91
01MAR11:00,82,32,91
01MAR12:00,82,32,91
01MAR13:00,82,32,91
01MAR14:00,82,32,91
01MAR15:00,101,32,104
01MAR16:00,105,32,122
01MAR17:00,105,32,122
01MAR18:00,105,32,122
01MAR19:00,105,32,122
01MAR20:00,105,32,122
01MAR21:00,105,32,122
01MAR22:00,100,32,122
01MAR23:00,98,32,121
02MAR00:00,98,141,113
02MAR01:00,98,141,113
02MAR02:00,98,141,113
02MAR03:00,98,141,113
02MAR04:00,101,141,113
02MAR05:00,105,141,113
02MAR06:00,105,141,113
02MAR07:00,105,141,113
02MAR08:00,101,103,87
02MAR09:00,80,81,60
02MAR10:00,80,81,60
02MAR11:00,80,81,60
02MAR12:00,80,81,60
02MAR13:00,80,81,60
02MAR14:00,80,81,60
02MAR15:00,94,101,60
02MAR16:00,101,107,80
02MAR17:00,101,107,80
02MAR18:00,101,107,80
02MAR19:00,101,107,80
02MAR20:00,101,107,80
02MAR21:00,101,107,80
02MAR22:00,99,102,60
02MAR23:00,94,101,57
03MAR00:00,90,101,57
03MAR01:00,90,101,57
03MAR02:00,90,101,57
03MAR03:00,90,101,57
03MAR04:00,90,103,57
03MAR05:00,91,107,57
03MAR06:00,95,107,57
03MAR07:00,90,107,53
03MAR08:00,62,98,51
03MAR09:00,59,80,50
03MAR10:00,59,80,49
03MAR11:00,59,80,49
03MAR12:00,59,80,49
03MAR13:00,59,80,49
03MAR14:00,59,80,49
03MAR15:00,59,98,50
03MAR16:00,64,101,52
03MAR17:00,76,101,52
03MAR18:00,76,101,52
03MAR19:00,64,101,52
03MAR20:00,62,101,52
03MAR21:00,59,101,51
03MAR22:00,58,98,50
03MAR23:00,57,96,50
04MAR00:00,57,92,49
04MAR01:00,57,89,48
04MAR02:00,57,89,48
04MAR03:00,57,89,48
04MAR04:00,57,89,48
04MAR05:00,57,94,48
04MAR06:00,57,95,48
04MAR07:00,57,68,47
04MAR08:00,45,59,46
04MAR09:00,1,57,40
04MAR10:00,1,56,40
04MAR11:00,1,56,40
04MAR12:00,1,56,40
04MAR13:00,1,56,40
04MAR14:00,45,56,44
04MAR15:00,57,57,47
04MAR16:00,58,59,48
04MAR17:00,60,61,50
04MAR18:00,60,60,50
04MAR19:00,60,59,50
04MAR20:00,60,58,50
04MAR21:00,61,58,50
04MAR22:00,60,56,50
04MAR23:00,62,51,51
05MAR00:00,62,51,51
05MAR01:00,62,51,51
05MAR02:00,62,51,51
05MAR03:00,62,51,51
05MAR04:00,65,51,52
05MAR05:00,66,51,52
05MAR06:00,73,51,53
05MAR07:00,72,51,52
05MAR08:00,64,49,51
05MAR09:00,62,47,50
05MAR10:00,62,47,50
05MAR11:00,62,47,50
05MAR12:00,63,47,51
05MAR13:00,79,47,52
05MAR14:00,83,49,52
05MAR15:00,85,51,54
05MAR16:00,85,51,56
05MAR17:00,85,56,56
05MAR18:00,85,56,55
05MAR19:00,85,56,55
05MAR20:00,83,56,53
05MAR21:00,83,56,53
05MAR22:00,81,56,53
05MAR23:00,78,56,52
06MAR00:00,86,58,68
06MAR01:00,86,57,68
06MAR02:00,86,57,68
06MAR03:00,86,57,68
06MAR04:00,86,59,68
06MAR05:00,89,60,68
06MAR06:00,90,60,68
06MAR07:00,90,59,68
06MAR08:00,89,58,68
06MAR09:00,87,56,68
06MAR10:00,88,56,68
06MAR11:00,88,56,68
06MAR12:00,90,57,69
06MAR13:00,90,59,69
06MAR14:00,90,61,69
06MAR15:00,90,65,93
06MAR16:00,98,65,95
06MAR17:00,98,65,95
06MAR18:00,98,65,95
06MAR19:00,98,65,95
06MAR20:00,98,65,95
06MAR21:00,98,62,95
06MAR22:00,94,62,95
06MAR23:00,92,61,95
07MAR00:00,92,83,95
07MAR01:00,92,83,95
07MAR02:00,92,83,95
07MAR03:00,92,83,95
07MAR04:00,98,83,95
07MAR05:00,98,83,95
07MAR06:00,98,87,95
07MAR07:00,98,87,95
07MAR08:00,96,83,70
07MAR09:00,81,83,54
07MAR10:00,66,84,53
07MAR11:00,64,85,52
07MAR12:00,64,89,51
07MAR13:00,64,89,51
07MAR14:00,64,90,51
07MAR15:00,64,100,52
07MAR16:00,84,102,54
07MAR17:00,84,102,55
07MAR18:00,84,102,55
07MAR19:00,84,102,55
07MAR20:00,84,102,54
07MAR21:00,81,102,53
07MAR22:00,61,102,51
07MAR23:00,59,102,51
08MAR00:00,59,102,51
08MAR01:00,59,102,51
08MAR02:00,59,102,51
08MAR03:00,59,102,51
08MAR04:00,59,102,51
08MAR05:00,59,102,51
08MAR06:00,59,102,51
08MAR07:00,56,102,49
08MAR08:00,56,102,48
08MAR09:00,52,61,48
08MAR10:00,52,60,48
08MAR11:00,52,60,48
08MAR12:00,48,59,48
08MAR13:00,52,59,48
08MAR14:00,52,60,48
08MAR15:00,56,60,48
08MAR16:00,59,63,50
08MAR17:00,60,72,51
08MAR18:00,60,71,51
08MAR19:00,59,63,51
08MAR20:00,59,63,51
08MAR21:00,59,60,51
08MAR22:00,59,58,51
08MAR23:00,59,56,51
09MAR00:00,59,56,50
09MAR01:00,57,56,50
09MAR02:00,57,56,50
09MAR03:00,57,56,50
09MAR04:00,59,56,50
09MAR05:00,59,56,50
09MAR06:00,59,56,51
09MAR07:00,59,54,49
09MAR08:00,56,54,48
09MAR09:00,3,52,40
09MAR10:00,3,52,42
09MAR11:00,3,52,39
09MAR12:00,3,52,39
09MAR13:00,3,52,34
09MAR14:00,3,52,39
09MAR15:00,45,52,46
09MAR16:00,56,55,49
09MAR17:00,60,55,51
09MAR18:00,60,55,51
09MAR19:00,60,55,51
09MAR20:00,60,55,50
09MAR21:00,60,55,50
09MAR22:00,58,55,49
09MAR23:00,57,54,49
10MAR00:00,56,54,49
10MAR01:00,56,54,49
10MAR02:00,56,54,49
10MAR03:00,56,54,49
10MAR04:00,56,55,50
10MAR05:00,57,55,50
10MAR06:00,57,55,50
10MAR07:00,57,55,49
10MAR08:00,56,52,48
10MAR09:00,56,41,48
10MAR10:00,56,44,48
10MAR11:00,56,41,48
10MAR12:00,56,41,48
10MAR13:00,56,41,48
10MAR14:00,57,41,49
10MAR15:00,59,49,51
10MAR16:00,66,54,52
10MAR17:00,68,57,52
10MAR18:00,68,57,52
10MAR19:00,68,57,52
10MAR20:00,68,57,52
10MAR21:00,67,57,52
10MAR22:00,65,55,52
10MAR23:00,64,54,51
11MAR00:00,63,54,51
11MAR01:00,62,54,51
11MAR02:00,62,54,51
11MAR03:00,61,54,51
11MAR04:00,61,55,51
11MAR05:00,62,57,51
11MAR06:00,61,57,51
11MAR07:00,58,57,49
11MAR08:00,54,54,47
11MAR09:00,50,54,47
11MAR10:00,50,54,47
11MAR11:00,49,54,47
11MAR12:00,49,54,47
11MAR13:00,50,54,47
11MAR14:00,54,55,47
11MAR15:00,54,58,48
11MAR16:00,56,60,49
11MAR17:00,66,60,52
11MAR18:00,67,60,53
11MAR19:00,67,60,53
11MAR20:00,67,60,53
11MAR21:00,67,60,53
11MAR22:00,67,60,53
11MAR23:00,67,59,52
12MAR00:00,66,58,52
12MAR01:00,65,58,52
12MAR02:00,64,58,52
12MAR03:00,64,58,52
12MAR04:00,66,58,52
12MAR05:00,67,58,52
12MAR06:00,67,58,52
12MAR07:00,62,56,51
12MAR08:00,57,53,50
12MAR09:00,57,53,50
12MAR10:00,57,53,50
12MAR11:00,57,53,50
12MAR12:00,57,53,50
12MAR13:00,57,53,50
12MAR14:00,57,53,50
12MAR15:00,57,53,51
12MAR16:00,58,56,51
12MAR17:00,61,61,51
12MAR18:00,61,62,51
12MAR19:00,61,62,51
12MAR20:00,59,62,51
12MAR21:00,58,62,50
12MAR22:00,58,62,50
12MAR23:00,58,61,50
13MAR00:00,58,61,50
13MAR01:00,58,59,50
13MAR02:00,59,58,50
13MAR03:00,59,58,51
13MAR04:00,61,59,51
13MAR05:00,63,60,51
13MAR06:00,65,61,51
13MAR07:00,65,58,51
13MAR08:00,63,56,51
13MAR09:00,59,56,50
13MAR10:00,59,56,50
13MAR11:00,59,56,50
13MAR12:00,59,56,50
13MAR13:00,59,56,50
13MAR14:00,60,56,51
13MAR15:00,68,56,52
13MAR16:00,120,56,100
13MAR17:00,120,58,100
13MAR18:00,120,59,100
13MAR19:00,120,58,100
13MAR20:00,120,58,100
13MAR21:00,120,56,100
13MAR22:00,112,56,100
13MAR23:00,90,56,100
14MAR00:00,90,56,71
14MAR01:00,90,56,71
14MAR02:00,90,56,66
14MAR03:00,90,57,66
14MAR04:00,93,58,66
14MAR05:00,96,59,66
14MAR06:00,96,60,66
14MAR07:00,86,60,53
14MAR08:00,63,58,51
14MAR09:00,59,56,50
14MAR10:00,58,56,50
14MAR11:00,58,56,50
14MAR12:00,58,56,50
14MAR13:00,58,56,50
14MAR14:00,58,58,50
14MAR15:00,67,75,51
14MAR16:00,78,110,53
14MAR17:00,80,110,53
14MAR18:00,78,110,53
14MAR19:00,78,110,53
14MAR20:00,78,110,52
14MAR21:00,62,110,51
14MAR22:00,62,110,51
14MAR23:00,58,99,51
15MAR00:00,58,105,51
15MAR01:00,58,97,51
15MAR02:00,59,95,51
15MAR03:00,59,91,51
15MAR04:00,62,95,51
15MAR05:00,62,96,51
15MAR06:00,62,96,51
15MAR07:00,60,61,50
15MAR08:00,58,56,50
15MAR09:00,58,53,50
15MAR10:00,58,53,50
15MAR11:00,58,53,50
15MAR12:00,58,53,50
15MAR13:00,58,53,50
15MAR14:00,58,54,50
15MAR15:00,63,57,52
15MAR16:00,82,60,54
15MAR17:00,98,72,69
15MAR18:00,103,72,71
15MAR19:00,103,60,71
15MAR20:00,103,60,71
15MAR21:00,103,58,71
15MAR22:00,103,58,71
15MAR23:00,103,56,71
16MAR00:00,103,56,71
16MAR01:00,103,56,71
16MAR02:00,103,56,71
16MAR03:00,103,56,71
16MAR04:00,103,57,71
16MAR05:00,103,58,71
16MAR06:00,103,58,71
16MAR07:00,103,56,71
16MAR08:00,103,53,56
16MAR09:00,82,53,52
16MAR10:00,67,53,51
16MAR11:00,67,53,51
16MAR12:00,67,53,51
16MAR13:00,67,55,51
16MAR14:00,67,56,51
16MAR15:00,67,58,51
16MAR16:00,87,75,52
16MAR17:00,87,99,54
16MAR18:00,87,102,54
16MAR19:00,87,102,54
16MAR20:00,87,102,53
16MAR21:00,87,102,53
16MAR22:00,85,102,52
16MAR23:00,82,102,52
17MAR00:00,78,105,51
17MAR01:00,76,105,51
17MAR02:00,65,105,51
17MAR03:00,62,105,51
17MAR04:00,60,105,51
17MAR05:00,62,105,51
17MAR06:00,61,105,50
17MAR07:00,56,105,45
17MAR08:00,35,93,28
17MAR09:00,2,61,2
17MAR10:00,2,58,2
17MAR11:00,2,58,2
17MAR12:00,2,58,2
17MAR13:00,2,58,2
17MAR14:00,2,58,2
17MAR15:00,2,58,2
17MAR16:00,5,64,4
17MAR17:00,54,77,45
17MAR18:00,56,77,45
17MAR19:00,54,76,45
17MAR20:00,54,76,45
17MAR21:00,54,76,45
17MAR22:00,55,74,46
17MAR23:00,55,62,46
18MAR00:00,57,60,47
18MAR01:00,57,59,47
18MAR02:00,57,59,47
18MAR03:00,57,58,47
18MAR04:00,57,58,47
18MAR05:00,57,58,47
18MAR06:00,57,57,47
18MAR07:00,57,45,46
18MAR08:00,27,25,40
18MAR09:00,6,10,23
18MAR10:00,3,10,6
18MAR11:00,1,10,6
18MAR12:00,1,10,6
18MAR13:00,1,10,6
18MAR14:00,13,10,16
18MAR15:00,27,10,35
18MAR16:00,58,16,45
18MAR17:00,90,39,53
18MAR18:00,95,41,56
18MAR19:00,95,41,56
18MAR20:00,95,41,56
18MAR21:00,96,41,56
18MAR22:00,96,46,56
18MAR23:00,96,46,56
19MAR00:00,96,47,56
19MAR01:00,96,47,56
19MAR02:00,96,47,56
19MAR03:00,96,47,56
19MAR04:00,96,47,56
19MAR05:00,96,47,56
19MAR06:00,96,47,56
19MAR07:00,95,47,53
19MAR08:00,66,25,44
19MAR09:00,50,10,40
19MAR10:00,42,3,35
19MAR11:00,41,3,35
19MAR12:00,41,3,35
19MAR13:00,41,3,35
19MAR14:00,42,10,36
19MAR15:00,51,25,42
19MAR16:00,71,47,50
19MAR17:00,95,60,56
19MAR18:00,96,77,56
19MAR19:00,95,77,56
19MAR20:00,93,78,55
19MAR21:00,92,78,54
19MAR22:00,92,78,54
19MAR23:00,92,78,55
20MAR00:00,95,78,56
20MAR01:00,95,78,56
20MAR02:00,96,78,56
20MAR03:00,96,78,56
20MAR04:00,96,78,56
20MAR05:00,96,78,56
20MAR06:00,96,78,56
20MAR07:00,96,77,54
20MAR08:00,72,50,48
20MAR09:00,63,36,44
20MAR10:00,63,31,44
20MAR11:00,63,28,44
20MAR12:00,63,28,44
20MAR13:00,63,30,44
20MAR14:00,67,32,45
20MAR15:00,71,40,51
20MAR16:00,107,57,71
20MAR17:00,114,77,116
20MAR18:00,120,78,116
20MAR19:00,114,77,116
20MAR20:00,114,77,116
20MAR21:00,114,76,116
20MAR22:00,114,76,116
20MAR23:00,114,76,116
21MAR00:00,114,77,116
21MAR01:00,114,78,116
21MAR02:00,114,78,116
21MAR03:00,114,78,116
21MAR04:00,114,78,116
21MAR05:00,114,78,116
21MAR06:00,114,78,116
21MAR07:00,95,77,53
21MAR08:00,61,57,43
21MAR09:00,48,49,36
21MAR10:00,39,49,36
21MAR11:00,39,49,36
21MAR12:00,39,49,36
21MAR13:00,39,49,36
21MAR14:00,39,50,36
21MAR15:00,48,57,39
21MAR16:00,54,98,46
21MAR17:00,79,111,47
21MAR18:00,79,111,48
21MAR19:00,79,111,47
21MAR20:00,79,111,47
21MAR21:00,67,111,47
21MAR22:00,55,111,47
21MAR23:00,51,111,46
22MAR00:00,52,113,47
22MAR01:00,51,113,47
22MAR02:00,51,113,47
22MAR03:00,51,113,47
22MAR04:00,51,113,47
22MAR05:00,52,113,47
22MAR06:00,51,113,46
22MAR07:00,41,82,42
22MAR08:00,1,47,11
22MAR09:00,1,38,5
22MAR10:00,1,36,3
22MAR11:00,0,36,3
22MAR12:00,0,36,3
22MAR13:00,0,36,3
22MAR14:00,1,36,3
22MAR15:00,1,39,8
22MAR16:00,2,50,19
22MAR17:00,4,53,19
22MAR18:00,4,54,19
22MAR19:00,4,53,19
22MAR20:00,3,53,19
22MAR21:00,2,52,19
22MAR22:00,1,50,19
22MAR23:00,1,49,19
23MAR00:00,1,49,19
23MAR01:00,1,48,19
23MAR02:00,1,48,19
23MAR03:00,1,48,19
23MAR04:00,1,49,19
23MAR05:00,1,49,19
23MAR06:00,1,49,19
23MAR07:00,1,6,18
23MAR08:00,1,3,11
23MAR09:00,1,1,3
23MAR10:00,1,1,3
23MAR11:00,1,1,3
23MAR12:00,1,1,3
23MAR13:00,1,1,3
23MAR14:00,1,1,3
23MAR15:00,1,2,8
23MAR16:00,1,3,19
23MAR17:00,2,5,19
23MAR18:00,2,6,19
23MAR19:00,2,5,19
23MAR20:00,2,5,19
23MAR21:00,2,4,19
23MAR22:00,2,3,19
23MAR23:00,2,3,19
24MAR00:00,2,3,19
24MAR01:00,2,3,19
24MAR02:00,2,3,19
24MAR03:00,2,3,19
24MAR04:00,2,3,19
24MAR05:00,2,3,19
24MAR06:00,2,3,19
24MAR07:00,1,3,13
24MAR08:00,1,2,6
24MAR09:00,0,1,3
24MAR10:00,0,1,3
24MAR11:00,0,1,3
24MAR12:00,0,1,3
24MAR13:00,0,1,3
24MAR14:00,0,1,8
24MAR15:00,1,2,12
24MAR16:00,2,3,19
24MAR17:00,51,5,47
24MAR18:00,55,5,48
24MAR19:00,55,5,48
24MAR20:00,55,5,48
24MAR21:00,55,5,48
24MAR22:00,55,5,48
24MAR23:00,55,5,48
25MAR00:00,55,5,48
25MAR01:00,54,5,48
25MAR02:00,51,5,47
